,aclist,bclist
0,苹果,null
1,苹果,苹果公司
2,小米,苹果
3,微软,null
4,英特尔,微软
5,苹果,null
6,苹果,苹果公司
7,华为,台积电
8,苹果,英特尔
9,比亚迪,特斯拉
10,null,苹果
11,三星,null
12,null,华为
13,null,百度
14,富力地产,null
15,亚马逊,阿里德
16,耐克,null
17,中陕核工业集团公司,null
18,中陕核工业集团公司,null
19,斗鱼,null
20,null,润敏公司
21,爱奇艺,null
22,苹果,null
23,谷歌,null
24,null,ST天成
25,特斯拉,null
26,樱花庄园公司,null
27,台积电,null
28,瑞幸咖啡,天眼查
29,null,多凤
30,津滨发展,null
31,汇丰,null
32,null,紫梧桐(北京)资产管理有限公司
33,国美,阿里
34,虎牙,null
35,盛必龙,null
36,金凰珠宝,长安信托
37,爱奇艺,null
38,美邦服饰,null
39,瑞幸咖啡,null
40,骐飞,上海恺英
41,null,众安保险
42,亚马逊,null
43,软银,阿里
44,null,合策科技(北京)有限公司
45,康明凯,null
46,瑞幸,瑞幸咖啡
47,null,琴海航空
48,新浪支付,null
49,微软,null
50,菊乐食品,新乳业
51,吉林省投资集团,吉林省投资集团有限公司
52,瑞幸咖啡,瑞幸咖啡
53,GNC,null
54,东方航空,null
55,null,九色鹿
56,null,金都房产集团
57,中超控股,广东鹏锦
58,三星,三星生物制剂
59,众泰汽车,应建仁
60,null,华谊
61,獐子岛,null
62,null,天新交通建设有限公司
63,月峡旅游集团,null
64,null,南京友邦图公司
65,台积电,null
66,紫金矿业,西藏天圆
67,亚马逊,特斯拉
68,老花,爱尔眼科
69,中新控股,null
70,中国移动,中国移动
71,獐子岛,null
72,獐子岛,null
73,null,中国航天科技集团
74,null,可口可乐
75,阿里,null
76,特斯拉,null
77,北京,null
78,null,德玛克
79,舞钢公司,null
80,字节跳动,null
81,獐子岛,null
82,null,江苏赛麟汽车科技有限公司
83,笑果文化,null
84,招商蛇口,null
85,null,斗鱼
86,瑞幸咖啡,null
87,国美,阿里
88,特斯拉,null
89,null,合策科技(北京)有限公司
90,老花,null
91,獐子岛,null
92,瑞幸咖啡,null
93,欧亚平,鸿信行
94,亿邦国际,比特大陆
95,null,佑安医院
96,宁德时代,特斯拉
97,汉莎航空,null
98,null,百度
99,哈药,null
100,null,合策科技(北京)有限公司
101,瑞幸咖啡,null
102,国美系,国美地产
103,阿里,阿里巴巴
104,酷鸟航空,null
105,谷歌,谷歌
106,贵人鸟,null
107,国美,京东
108,美光,美光公司
109,马立恒,null
